StormName,li,Year,Basin
Alberto (Atlantic),,1994,Atlantic
Beryl (Atlantic),,1994,Atlantic
Chris (Atlantic),,1994,Atlantic
Debby (Atlantic),,1994,Atlantic
Ernesto (Atlantic),,1994,Atlantic
Florence (Atlantic),,1994,Atlantic
Gordon (Atlantic),,1994,Atlantic
Tropical Depression Two (Atlantic),,1994,Atlantic
Tropical Depression Five (Atlantic),,1994,Atlantic
Tropical Depression Eight (Atlantic),,1994,Atlantic
Tropical Depression Nine (Atlantic),,1994,Atlantic
Tropical Depression Ten (Atlantic),,1994,Atlantic
Arlene (Atlantic),,1993,Atlantic
Bret (Atlantic),,1993,Atlantic
Cindy (Atlantic),,1993,Atlantic
Dennis (Atlantic),,1993,Atlantic
Emily (Atlantic),,1993,Atlantic
Floyd (Atlantic),,1993,Atlantic
Gert (Atlantic),,1993,Atlantic
Harvey (Atlantic),,1993,Atlantic
Tropical Depression One (Atlantic),,1993,Atlantic
Tropical Depression Ten (Atlantic),,1993,Atlantic
Andrew (Atlantic),,1992,Atlantic
Bonnie (Atlantic),,1992,Atlantic
Charley (Atlantic),,1992,Atlantic
Danielle (Atlantic),,1992,Atlantic
Earl (Atlantic),,1992,Atlantic
Frances (Atlantic),,1992,Atlantic
Tropical Depression One (Atlantic),,1992,Atlantic
Tropical Depression Two (Atlantic),,1992,Atlantic
Tropical Depression Seven (Atlantic),,1992,Atlantic
Subtropical Storm (Atlantic),,1992,Atlantic
Ana (Atlantic),,1991,Atlantic
Bob (Atlantic),,1991,Atlantic
Claudette (Atlantic),,1991,Atlantic
Danny (Atlantic),,1991,Atlantic
Erika (Atlantic),,1991,Atlantic
Fabian (Atlantic),,1991,Atlantic
Grace (Atlantic),,1991,Atlantic
Tropical Depression Four (Atlantic),,1991,Atlantic
Tropical Depression Ten (Atlantic),,1991,Atlantic
Unnamed (Atlantic),,1991,Atlantic
Arthur (Atlantic),,1990,Atlantic
Bertha (Atlantic),,1990,Atlantic
Cesar (Atlantic),,1990,Atlantic
Diana (Atlantic),,1990,Atlantic
Edouard (Atlantic),,1990,Atlantic
Fran (Atlantic),,1990,Atlantic
Gustav (Atlantic),,1990,Atlantic
Hortense (Atlantic),,1990,Atlantic
Isidore (Atlantic),,1990,Atlantic
Josephine (Atlantic),,1990,Atlantic
Klaus (Atlantic),,1990,Atlantic
Lili (Atlantic),,1990,Atlantic
Marco (Atlantic),,1990,Atlantic
Nana (Atlantic),,1990,Atlantic
Allison (Atlantic),,1989,Atlantic
Barry (Atlantic),,1989,Atlantic
Chantal (Atlantic),,1989,Atlantic
Dean (Atlantic),,1989,Atlantic
Erin (Atlantic),,1989,Atlantic
Felix (Atlantic),,1989,Atlantic
Gabrielle (Atlantic),,1989,Atlantic
Hugo (Atlantic),,1989,Atlantic
Iris (Atlantic),,1989,Atlantic
Jerry (Atlantic),,1989,Atlantic
Karen (Atlantic),,1989,Atlantic
Alberto (Atlantic),,1988,Atlantic
Beryl (Atlantic),,1988,Atlantic
Chris (Atlantic),,1988,Atlantic
Debby (Atlantic),,1988,Atlantic
Ernesto (Atlantic),,1988,Atlantic
Florence (Atlantic),,1988,Atlantic
Gilbert (Atlantic),,1988,Atlantic
Helene (Atlantic),,1988,Atlantic
Joan (Atlantic),,1988,Atlantic
Isaac (Atlantic),,1988,Atlantic
Keith (Atlantic),,1988,Atlantic
Unnamed (Atlantic),,1988,Atlantic
Arlene (Atlantic),,1987,Atlantic
Bret (Atlantic),,1987,Atlantic
Cindy (Atlantic),,1987,Atlantic
Dennis (Atlantic),,1987,Atlantic
Emily (Atlantic),,1987,Atlantic
Floyd (Atlantic),,1987,Atlantic
Tropical Depression Fourteen (Atlantic),,1987,Atlantic
Unnamed (Atlantic),,1987,Atlantic
Andrew (Atlantic),,1986,Atlantic
Bonnie (Atlantic),,1986,Atlantic
Charley (Atlantic),,1986,Atlantic
Danielle (Atlantic),,1986,Atlantic
Earl (Atlantic),,1986,Atlantic
Frances (Atlantic),,1986,Atlantic
Ana (Atlantic),,1985,Atlantic
Bob (Atlantic),,1985,Atlantic
Claudette (Atlantic),,1985,Atlantic
Danny (Atlantic),,1985,Atlantic
Elena (Atlantic),,1985,Atlantic
Fabian (Atlantic),,1985,Atlantic
Gloria (Atlantic),,1985,Atlantic
Henri (Atlantic),,1985,Atlantic
Isabel (Atlantic),,1985,Atlantic
Juan (Atlantic),,1985,Atlantic
Kate (Atlantic),,1985,Atlantic
Arthur (Atlantic),,1984,Atlantic
Bertha (Atlantic),,1984,Atlantic
Cesar (Atlantic),,1984,Atlantic
Diana (Atlantic),,1984,Atlantic
Edouard (Atlantic),,1984,Atlantic
Fran (Atlantic),,1984,Atlantic
Gustav (Atlantic),,1984,Atlantic
Hortense (Atlantic),,1984,Atlantic
Isidore (Atlantic),,1984,Atlantic
Josephine (Atlantic),,1984,Atlantic
Klaus (Atlantic),,1984,Atlantic
Lili (Atlantic),,1984,Atlantic
Subtropical Storm One (Atlantic),,1984,Atlantic
Alicia (Atlantic),,1983,Atlantic
Barry (Atlantic),,1983,Atlantic
Chantal (Atlantic),,1983,Atlantic
Dean (Atlantic),,1983,Atlantic
Alberto (Atlantic),,1982,Atlantic
Beryl (Atlantic),,1982,Atlantic
Chris (Atlantic),,1982,Atlantic
Debby (Atlantic),,1982,Atlantic
Ernesto (Atlantic),,1982,Atlantic
Subtropical Storm One (Atlantic),,1982,Atlantic
Arlene (Atlantic),,1981,Atlantic
Bret (Atlantic),,1981,Atlantic
Cindy (Atlantic),,1981,Atlantic
Dennis (Atlantic),,1981,Atlantic
Emily (Atlantic),,1981,Atlantic
Floyd (Atlantic),,1981,Atlantic
Gert (Atlantic),,1981,Atlantic
Harvey (Atlantic),,1981,Atlantic
Irene (Atlantic),,1981,Atlantic
Jose (Atlantic),,1981,Atlantic
Katrina (Atlantic),,1981,Atlantic
Subtropical Storm Two (Atlantic),,1981,Atlantic
Allen (Atlantic),,1980,Atlantic
Bonnie (Atlantic),,1980,Atlantic
Charley (Atlantic),,1980,Atlantic
Danielle (Atlantic),,1980,Atlantic
Earl (Atlantic),,1980,Atlantic
Frances (Atlantic),,1980,Atlantic
Georges (Atlantic),,1980,Atlantic
Hermine (Atlantic),,1980,Atlantic
Ivan (Atlantic),,1980,Atlantic
Jeanne (Atlantic),,1980,Atlantic
Karl (Atlantic),,1980,Atlantic
Ana (Atlantic),,1979,Atlantic
Bob (Atlantic),,1979,Atlantic
Claudette (Atlantic),,1979,Atlantic
David (Atlantic),,1979,Atlantic
Elena (Atlantic),,1979,Atlantic
Frederic (Atlantic),,1979,Atlantic
Gloria (Atlantic),,1979,Atlantic
Henri (Atlantic),,1979,Atlantic
Subtropical Storm (Atlantic),,1979,Atlantic
Amelia (Atlantic),,1978,Atlantic
Bess (Atlantic),,1978,Atlantic
Cora (Atlantic),,1978,Atlantic
Debra (Atlantic),,1978,Atlantic
Ella (Atlantic),,1978,Atlantic
Flossie (Atlantic),,1978,Atlantic
Greta (Atlantic),,1978,Atlantic
Hope (Atlantic),,1978,Atlantic
Irma (Atlantic),,1978,Atlantic
Juliet (Atlantic),,1978,Atlantic
Kendra (Atlantic),,1978,Atlantic
Sutropical Storm (Atlantic),,1978,Atlantic
Anita (Atlantic),,1977,Atlantic
Babe (Atlantic),,1977,Atlantic
Clara (Atlantic),,1977,Atlantic
Dorothy (Atlantic),,1977,Atlantic
Evelyn (Atlantic),,1977,Atlantic
Frieda (Atlantic),,1977,Atlantic
Anna (Atlantic),,1976,Atlantic
Belle (Atlantic),,1976,Atlantic
Candice (Atlantic),,1976,Atlantic
Dottie (Atlantic),,1976,Atlantic
Emmy (Atlantic),,1976,Atlantic
Frances (Atlantic),,1976,Atlantic
Gloria (Atlantic),,1976,Atlantic
Holly (Atlantic),,1976,Atlantic
Amy (Atlantic),,1975,Atlantic
Blanche (Atlantic),,1975,Atlantic
Caroline (Atlantic),,1975,Atlantic
Doris (Atlantic),,1975,Atlantic
Eloise (Atlantic),,1975,Atlantic
Faye (Atlantic),,1975,Atlantic
Gladys (Atlantic),,1975,Atlantic
Hallie (Atlantic),,1975,Atlantic
Alma (Atlantic),,1974,Atlantic
Becky (Atlantic),,1974,Atlantic
Carmen (Atlantic),,1974,Atlantic
Dolly (Atlantic),,1974,Atlantic
Elaine (Atlantic),,1974,Atlantic
Fifi (Atlantic),,1974,Atlantic
Gertrude (Atlantic),,1974,Atlantic
Subtropical Storm (Atlantic),,1974,Atlantic
Alice (Atlantic),,1973,Atlantic
Brenda (Atlantic),,1973,Atlantic
Christian (Atlantic),,1973,Atlantic
Delia (Atlantic),,1973,Atlantic
Ellen (Atlantic),,1973,Atlantic
Fran (Atlantic),,1973,Atlantic
Gilda (Atlantic),,1973,Atlantic
Agnes (Atlantic),,1972,Atlantic
Betty (Atlantic),,1972,Atlantic
Carrie (Atlantic),,1972,Atlantic
Dawn (Atlantic),,1972,Atlantic
Arlene (Atlantic),,1971,Atlantic
Beth (Atlantic),,1971,Atlantic
Chloe (Atlantic),,1971,Atlantic
Doria (Atlantic),,1971,Atlantic
Edith (Atlantic),,1971,Atlantic
Fern (Atlantic),,1971,Atlantic
Ginger (Atlantic),,1971,Atlantic
Heidi (Atlantic),,1971,Atlantic
Janice (Atlantic),,1971,Atlantic
Kristy (Atlantic),,1971,Atlantic
Laura (Atlantic),,1971,Atlantic
Alma (Atlantic),,1970,Atlantic
Becky (Atlantic),,1970,Atlantic
Celia (Atlantic),,1970,Atlantic
Dorothy (Atlantic),,1970,Atlantic
Ella (Atlantic),,1970,Atlantic
Felice (Atlantic),,1970,Atlantic
Greta (Atlantic),,1970,Atlantic
Anna (Atlantic),,1969,Atlantic
Blanche (Atlantic),,1969,Atlantic
Camille (Atlantic),,1969,Atlantic
Debbie (Atlantic),,1969,Atlantic
Eve (Atlantic),,1969,Atlantic
Franceli (Atlantic),,1969,Atlantic
Gerda (Atlantic),,1969,Atlantic
Holly (Atlantic),,1969,Atlantic
Inga (Atlantic),,1969,Atlantic
Jenny (Atlantic),,1969,Atlantic
Kara (Atlantic),,1969,Atlantic
Laurie (Atlantic),,1969,Atlantic
Martha (Atlantic),,1969,Atlantic
Abby (Atlantic),,1968,Atlantic
Brenda (Atlantic),,1968,Atlantic
Candy (Atlantic),,1968,Atlantic
Dolly (Atlantic),,1968,Atlantic
Edna (Atlantic),,1968,Atlantic
Frances (Atlantic),,1968,Atlantic
Gladys (Atlantic),,1968,Atlantic
Arlene (Atlantic),,1967,Atlantic
Beulah (Atlantic),,1967,Atlantic
Chloe (Atlantic),,1967,Atlantic
Doria (Atlantic),,1967,Atlantic
Edith (Atlantic),,1967,Atlantic
Fern (Atlantic),,1967,Atlantic
Ginger (Atlantic),,1967,Atlantic
Heidi (Atlantic),,1967,Atlantic
Tropical Depression Three (Atlantic),,1967,Atlantic
Alma (Atlantic),,1966,Atlantic
Becky (Atlantic),,1966,Atlantic
Celia (Atlantic),,1966,Atlantic
Dorothy (Atlantic),,1966,Atlantic
Ella (Atlantic),,1966,Atlantic
Faith (Atlantic),,1966,Atlantic
Greta (Atlantic),,1966,Atlantic
Hallie (Atlantic),,1966,Atlantic
Inez (Atlantic),,1966,Atlantic
Judith (Atlantic),,1966,Atlantic
Kendra (Atlantic),,1966,Atlantic
Lois (Atlantic),,1966,Atlantic
Anna (Atlantic),,1965,Atlantic
Betsy (Atlantic),,1965,Atlantic
Carol (Atlantic),,1965,Atlantic
Debbie (Atlantic),,1965,Atlantic
Elena (Atlantic),,1965,Atlantic
Tropical Storm (Atlantic),,1965,Atlantic
Abby (Atlantic),,1964,Atlantic
Brenda (Atlantic),,1964,Atlantic
Cleo (Atlantic),,1964,Atlantic
Dora (Atlantic),,1964,Atlantic
Ethel (Atlantic),,1964,Atlantic
Florence (Atlantic),,1964,Atlantic
Gladys (Atlantic),,1964,Atlantic
Hilda (Atlantic),,1964,Atlantic
Isbell (Atlantic),,1964,Atlantic
Tropical Storm One (Atlantic),,1964,Atlantic
Tropical Storm Two (Atlantic),,1964,Atlantic
Tropical Storm Twelve (Atlantic),,1964,Atlantic
Arlene (Atlantic),,1963,Atlantic
Beulah (Atlantic),,1963,Atlantic
Cindy (Atlantic),,1963,Atlantic
Alma (Atlantic),,1962,Atlantic
Becky (Atlantic),,1962,Atlantic
Celia (Atlantic),,1962,Atlantic
Daisy (Atlantic),,1962,Atlantic
Ella (Atlantic),,1962,Atlantic
Anna (Atlantic),,1961,Atlantic
Betsy (Atlantic),,1961,Atlantic
Carla (Atlantic),,1961,Atlantic
Debbie (Atlantic),,1961,Atlantic
Esther (Atlantic),,1961,Atlantic
Frances (Atlantic),,1961,Atlantic
Gerda (Atlantic),,1961,Atlantic
Hattie (Atlantic),,1961,Atlantic
Inga (Atlantic),,1961,Atlantic
Jenny (Atlantic),,1961,Atlantic
Abby (Atlantic),,1960,Atlantic
Brenda (Atlantic),,1960,Atlantic
Cleo (Atlantic),,1960,Atlantic
Donna (Atlantic),,1960,Atlantic
Ethel (Atlantic),,1960,Atlantic
Florence (Atlantic),,1960,Atlantic
Tropical Depression (Atlantic),,1960,Atlantic
Arlene (Atlantic),,1959,Atlantic
Beulah (Atlantic),,1959,Atlantic
Cindy (Atlantic),,1959,Atlantic
Debra (Atlantic),,1959,Atlantic
Edith (Atlantic),,1959,Atlantic
Flora (Atlantic),,1959,Atlantic
Gracie (Atlantic),,1959,Atlantic
Hannah (Atlantic),,1959,Atlantic
Irene (Atlantic),,1959,Atlantic
Judith (Atlantic),,1959,Atlantic
Alma (Atlantic),,1958,Atlantic
Becky (Atlantic),,1958,Atlantic
Cleo (Atlantic),,1958,Atlantic
Daisy (Atlantic),,1958,Atlantic
Ella (Atlantic),,1958,Atlantic
Fifi (Atlantic),,1958,Atlantic
Gerda (Atlantic),,1958,Atlantic
Helene (Atlantic),,1958,Atlantic
Ilsa (Atlantic),,1958,Atlantic
Janice (Atlantic),,1958,Atlantic
Aletta (Pacific),,1988,Pacific
Bud (Pacific),,1988,Pacific
Carlotta (Pacific),,1988,Pacific
Daniel (Pacific),,1988,Pacific
Emilia (Pacific),,1988,Pacific
Fabio (Pacific),,1988,Pacific
Gilma (Pacific),,1988,Pacific
Hector (Pacific),,1988,Pacific
Iva (Pacific),,1988,Pacific
John (Pacific),,1988,Pacific
Kristy (Pacific),,1988,Pacific
Lane (Pacific),,1988,Pacific
Miriam (Pacific),,1988,Pacific
Adolph (Pacific),,1989,Pacific
Barbara (Pacific),,1989,Pacific
Cosme (Pacific),,1989,Pacific
Dalilia (Pacific),,1989,Pacific
Erick (Pacific),,1989,Pacific
Flossie (Pacific),,1989,Pacific
Gil (Pacific),,1989,Pacific
Henriett (Pacific),,1989,Pacific
Ismael (Pacific),,1989,Pacific
Juliette (Pacific),,1989,Pacific
Kiko (Pacific),,1989,Pacific
Lorena (Pacific),,1989,Pacific
Manuel (Pacific),,1989,Pacific
Narda (Pacific),,1989,Pacific
Octave (Pacific),,1989,Pacific
Priscill (Pacific),,1989,Pacific
Raymond (Pacific),,1989,Pacific
Alma (Pacific),,1990,Pacific
Boris (Pacific),,1990,Pacific
Cristina (Pacific),,1990,Pacific
Douglas (Pacific),,1990,Pacific
Elida (Pacific),,1990,Pacific
Fausto (Pacific),,1990,Pacific
Geneviev (Pacific),,1990,Pacific
Hernan (Pacific),,1990,Pacific
Iselle (Pacific),,1990,Pacific
Julio (Pacific),,1990,Pacific
Kenna (Pacific),,1990,Pacific
Lowell (Pacific),,1990,Pacific
Marie (Pacific),,1990,Pacific
Norbert (Pacific),,1990,Pacific
Odile (Pacific),,1990,Pacific
Polo (Pacific),,1990,Pacific
Rachel (Pacific),,1990,Pacific
Simon (Pacific),,1990,Pacific
Trudy (Pacific),,1990,Pacific
Vance (Pacific),,1990,Pacific
Andres (Pacific),,1991,Pacific
Blanca (Pacific),,1991,Pacific
Carlos (Pacific),,1991,Pacific
Delores (Pacific),,1991,Pacific
Enrique (Pacific),,1991,Pacific
Fefa (Pacific),,1991,Pacific
Guillerm (Pacific),,1991,Pacific
Hilda (Pacific),,1991,Pacific
Ignacio (Pacific),,1991,Pacific
Jimena (Pacific),,1991,Pacific
Kevin (Pacific),,1991,Pacific
Linda (Pacific),,1991,Pacific
Marty (Pacific),,1991,Pacific
Nora (Pacific),,1991,Pacific
Agatha (Pacific),,1992,Pacific
Blas (Pacific),,1992,Pacific
Celia (Pacific),,1992,Pacific
Darby (Pacific),,1992,Pacific
Estelle (Pacific),,1992,Pacific
Frank (Pacific),,1992,Pacific
Georgett (Pacific),,1992,Pacific
Howard (Pacific),,1992,Pacific
Isis (Pacific),,1992,Pacific
Javier (Pacific),,1992,Pacific
Kay (Pacific),,1992,Pacific
Lester (Pacific),,1992,Pacific
Madeline (Pacific),,1992,Pacific
Newton (Pacific),,1992,Pacific
Orlene (Pacific),,1992,Pacific
Payne (Pacific),,1992,Pacific
Roslyn (Pacific),,1992,Pacific
Seymour (Pacific),,1992,Pacific
Tina (Pacific),,1992,Pacific
Virgil (Pacific),,1992,Pacific
Winifred (Pacific),,1992,Pacific
Xavier (Pacific),,1992,Pacific
Yolanda (Pacific),,1992,Pacific
Zeke (Pacific),,1992,Pacific
Adrian (Pacific),,1993,Pacific
Beatriz (Pacific),,1993,Pacific
Calvin (Pacific),,1993,Pacific
Dora (Pacific),,1993,Pacific
Eugene (Pacific),,1993,Pacific
Fernanda (Pacific),,1993,Pacific
Greg (Pacific),,1993,Pacific
Hilary (Pacific),,1993,Pacific
Irwin (Pacific),,1993,Pacific
Jova (Pacific),,1993,Pacific
Kenneth (Pacific),,1993,Pacific
Lidia (Pacific),,1993,Pacific
Max (Pacific),,1993,Pacific
Norma (Pacific),,1993,Pacific
Aletta (Pacific),,1994,Pacific
Bud (Pacific),,1994,Pacific
Carlotta (Pacific),,1994,Pacific
Daniel (Pacific),,1994,Pacific
Emilia (Pacific),,1994,Pacific
Fabio (Pacific),,1994,Pacific
Gilma (Pacific),,1994,Pacific
Hector (Pacific),,1994,Pacific
Ileana (Pacific),,1994,Pacific
John (Pacific),,1994,Pacific
Kristy (Pacific),,1994,Pacific
Lane (Pacific),,1994,Pacific
Miriam (Pacific),,1994,Pacific
Norman (Pacific),,1994,Pacific
Olivia (Pacific),,1994,Pacific
Paul (Pacific),,1994,Pacific
Rosa (Pacific),,1994,Pacific
Hurricane Allison (Atlantic),,1995,Atlantic
Tropical Storm Barry (Atlantic),,1995,Atlantic
Tropical Storm Chantal (Atlantic),,1995,Atlantic
Tropical Storm Dean (Atlantic),,1995,Atlantic
Hurricane Erin (Atlantic),,1995,Atlantic
Tropical Depression Six (Atlantic),,1995,Atlantic
Hurricane Felix (Atlantic),,1995,Atlantic
Tropical Storm Gabrielle (Atlantic),,1995,Atlantic
Hurricane Humberto (Atlantic),,1995,Atlantic
Hurricane Iris (Atlantic),,1995,Atlantic
Tropical Storm Jerry (Atlantic),,1995,Atlantic
Hurricane Luis (Atlantic),,1995,Atlantic
Tropical Depression Fourteen (Atlantic),,1995,Atlantic
Hurricane Marilyn (Atlantic),,1995,Atlantic
Hurricane Noel (Atlantic),,1995,Atlantic
Tropical Storm Pablo (Atlantic),,1995,Atlantic
Hurricane Roxanne (Atlantic),,1995,Atlantic
Tropical Storm Sebastien (Atlantic),,1995,Atlantic
Hurricane Tanya (Atlantic),,1995,Atlantic
Tropical Depression One-E (Pacific),,1995,Pacific
Hurricane Adolph (Pacific),,1995,Pacific
Hurricane Barbara (Pacific),,1995,Pacific
Hurricane Cosme (Pacific),,1995,Pacific
Tropical Storm Dalila (Pacific),,1995,Pacific
Tropical Storm Erick (Pacific),,1995,Pacific
Hurricane Flossie (Pacific),,1995,Pacific
Tropical Storm Gil (Pacific),,1995,Pacific
Hurricane Henriette (Pacific),,1995,Pacific
Hurricane Ismael (Pacific),,1995,Pacific
Hurricane Juliette (Pacific),,1995,Pacific
Tropical Storm Arthur (Atlantic),,1996,Atlantic
Hurricane Bertha (Atlantic),,1996,Atlantic
Hurricane Cesar (Atlantic),,1996,Atlantic
Hurricane Dolly (Atlantic),,1996,Atlantic
Hurricane Edouard (Atlantic),,1996,Atlantic
Hurricane Fran (Atlantic),,1996,Atlantic
Tropical Storm Gustav (Atlantic),,1996,Atlantic
Hurricane Hortense (Atlantic),,1996,Atlantic
Hurricane Isidore (Atlantic),,1996,Atlantic
Tropical Storm Josephine (Atlantic),,1996,Atlantic
Tropical Storm Kyle (Atlantic),,1996,Atlantic
Hurricane Lili (Atlantic),,1996,Atlantic
Hurricane Marco (Atlantic),,1996,Atlantic
Tropical Depression Two-E (Pacific),,1996,Pacific
Hurricane Alma (Pacific),,1996,Pacific
Hurricane Boris (Pacific),,1996,Pacific
Tropical Storm Cristina (Pacific),,1996,Pacific
Tropical Depression Six-E (Pacific),,1996,Pacific
Hurricane Douglas (Pacific),,1996,Pacific
Tropical Storm Elida (Pacific),,1996,Pacific
Hurricane Fausto (Pacific),,1996,Pacific
Tropical Storm Genevieve (Pacific),,1996,Pacific
Hurricane Hernan (Pacific),,1996,Pacific
Tropical Depression Twelve-E (Pacific),,1996,Pacific
Tropical Storm Ana (Atlantic),,1997,Atlantic
Hurricane Bill (Atlantic),,1997,Atlantic
Tropical Storm Claudette (Atlantic),,1997,Atlantic
Hurricane Danny (Atlantic),,1997,Atlantic
Tropical Depression Five (Atlantic),,1997,Atlantic
Hurricane Erika (Atlantic),,1997,Atlantic
Tropical Storm Fabian (Atlantic),,1997,Atlantic
Tropical Storm Andres (Pacific),,1997,Pacific
Tropical Storm Blanca (Pacific),,1997,Pacific
Tropical Depression Three-E (Pacific),,1997,Pacific
Tropical Storm Carlos (Pacific),,1997,Pacific
Tropical Depression Five-E (Pacific),,1997,Pacific
Hurricane Dolores (Pacific),,1997,Pacific
Hurricane Enrique (Pacific),,1997,Pacific
Hurricane Felicia (Pacific),,1997,Pacific
Hurricane Guillermo (Pacific),,1997,Pacific
Tropical Storm Hilda (Pacific),,1997,Pacific
Tropical Storm Ignacio (Pacific),,1997,Pacific
Hurricane Jimena (Pacific),,1997,Pacific
