StormName,li,Year,Basin
Tropical Storm Kevin (Pacific),,1997,Pacific
Hurricane Linda (Pacific),,1997,Pacific
Tropical Storm Marty (Pacific),,1997,Pacific
Hurricane Nora (Pacific),,1997,Pacific
Tropical Storm Olaf (Pacific),,1997,Pacific
Hurricane Pauline (Pacific),,1997,Pacific
Hurricane Rick (Pacific),,1997,Pacific
Tropical Storm Alex (Atlantic),,1998,Atlantic
Hurricane Bonnie (Atlantic),,1998,Atlantic
Tropical Storm Charley (Atlantic),,1998,Atlantic
Hurricane Danielle (Atlantic),,1998,Atlantic
Hurricane Earl (Atlantic),,1998,Atlantic
Tropical Storm Frances (Atlantic),,1998,Atlantic
Hurricane Georges (Atlantic),,1998,Atlantic
Tropical Storm Hermine (Atlantic),,1998,Atlantic
Hurricane Ivan (Atlantic),,1998,Atlantic
Hurricane Jeanne (Atlantic),,1998,Atlantic
Hurricane Karl (Atlantic),,1998,Atlantic
Hurricane Lisa (Atlantic),,1998,Atlantic
Hurricane Mitch (Atlantic),,1998,Atlantic
Tropical Storm Agatha (Pacific),,1998,Pacific
Tropical Depression Two-E (Pacific),,1998,Pacific
Hurricane Blas (Pacific),,1998,Pacific
Tropical Storm Celia (Pacific),,1998,Pacific
Hurricane Darby (Pacific),,1998,Pacific
Hurricane Estelle (Pacific),,1998,Pacific
Tropical Storm Frank (Pacific),,1998,Pacific
Hurricane Georgette (Pacific),,1998,Pacific
Hurricane Howard (Pacific),,1998,Pacific
Hurricane Isis (Pacific),,1998,Pacific
Tropical Storm Javier (Pacific),,1998,Pacific
Tropical Depression Twelve-E (Pacific),,1998,Pacific
Hurricane Kay (Pacific),,1998,Pacific
Hurricane Lester (Pacific),,1998,Pacific
Hurricane Madeline (Pacific),,1998,Pacific
Tropical Storm Arlene (Atlantic),,1999,Atlantic
Tropical Depression Two (Atlantic),,1999,Atlantic
Hurricane Bret (Atlantic),,1999,Atlantic
Hurricane Cindy (Atlantic),,1999,Atlantic
Tropical Storm Emily (Atlantic),,1999,Atlantic
Tropical Depression Seven (Atlantic),,1999,Atlantic
Hurricane Floyd (Atlantic),,1999,Atlantic
Hurricane Gert (Atlantic),,1999,Atlantic
Tropical Storm Harvey (Atlantic),,1999,Atlantic
Tropical Depression Eleven (Atlantic),,1999,Atlantic
Tropical Depression Twelve (Atlantic),,1999,Atlantic
Hurricane Irene (Atlantic),,1999,Atlantic
Hurricane Jose (Atlantic),,1999,Atlantic
Tropical Storm Katrina (Atlantic),,1999,Atlantic
Hurricane Lenny (Atlantic),,1999,Atlantic
Hurricane Adrian (Pacific),,1999,Pacific
Hurricane Beatriz (Pacific),,1999,Pacific
Tropical Depression Three-E (Pacific),,1999,Pacific
Tropical Depression Four-E (Pacific),,1999,Pacific
Tropical Storm Calvin (Pacific),,1999,Pacific
Tropical Depression Six-E (Pacific),,1999,Pacific
Hurricane Dora (Pacific),,1999,Pacific
Hurricane Eugene (Pacific),,1999,Pacific
Tropical Depression Nine-E (Pacific),,1999,Pacific
Tropical Storm Fernanda (Pacific),,1999,Pacific
Tropical Depression Eleven-E (Pacific),,1999,Pacific
Hurricane Greg (Pacific),,1999,Pacific
Hurricane Hilary (Pacific),,1999,Pacific
Tropical Storm Irwin (Pacific),,1999,Pacific
Tropical Depression One (Atlantic),,2000,Atlantic
Tropical Depression Two (Atlantic),,2000,Atlantic
Hurricane Alberto (Atlantic),,2000,Atlantic
Tropical Depression Four (Atlantic),,2000,Atlantic
Tropical Storm Beryl (Atlantic),,2000,Atlantic
Tropical Storm Chris (Atlantic),,2000,Atlantic
Hurricane Debby (Atlantic),,2000,Atlantic
Tropical Storm Ernesto (Atlantic),,2000,Atlantic
Tropical Depression Nine (Atlantic),,2000,Atlantic
Hurricane Florence (Atlantic),,2000,Atlantic
Hurricane Gordon (Atlantic),,2000,Atlantic
Tropical Storm Helene (Atlantic),,2000,Atlantic
Hurricane Isaac (Atlantic),,2000,Atlantic
Hurricane Joyce (Atlantic),,2000,Atlantic
Hurricane Keith (Atlantic),,2000,Atlantic
Tropical Storm Leslie (Atlantic),,2000,Atlantic
Hurricane Michael (Atlantic),,2000,Atlantic
Tropical Storm Nadine (Atlantic),,2000,Atlantic
Hurricane Aletta (Pacific),,2000,Pacific
Tropical Storm Bud (Pacific),,2000,Pacific
Hurricane Carlotta (Pacific),,2000,Pacific
Tropical Depression Four (Pacific),,2000,Pacific
Tropical Depression Five (Pacific),,2000,Pacific
Hurricane Daniel (Pacific),,2000,Pacific
Tropical Storm Emilia (Pacific),,2000,Pacific
Tropical Storm Fabio (Pacific),,2000,Pacific
Hurricane Gilma (Pacific),,2000,Pacific
Hurricane Hector (Pacific),,2000,Pacific
Tropical Storm Ileana (Pacific),,2000,Pacific
Tropical Storm John (Pacific),,2000,Pacific
Tropical Storm Kristy (Pacific),,2000,Pacific
Hurricane Lane (Pacific),,2000,Pacific
Tropical Storm Miriam (Pacific),,2000,Pacific
Tropical Storm Norman (Pacific),,2000,Pacific
Tropical Storm Olivia (Pacific),,2000,Pacific
Tropical Storm Paul (Pacific),,2000,Pacific
Tropical Storm Rosa (Pacific),,2000,Pacific
Tropical Storm Allison (Atlantic),,2001,Atlantic
Tropical Depression Two (Atlantic),,2001,Atlantic
Tropical Storm Barry (Atlantic),,2001,Atlantic
Tropical Storm Chantal (Atlantic),,2001,Atlantic
Tropical Storm Dean (Atlantic),,2001,Atlantic
Hurricane Erin (Atlantic),,2001,Atlantic
Hurricane Felix (Atlantic),,2001,Atlantic
Hurricane Gabrielle (Atlantic),,2001,Atlantic
Tropical Depression Nine (Atlantic),,2001,Atlantic
Hurricane Humberto (Atlantic),,2001,Atlantic
Hurricane Iris (Atlantic),,2001,Atlantic
Tropical Storm Jerry (Atlantic),,2001,Atlantic
Hurricane Karen (Atlantic),,2001,Atlantic
Tropical Storm Lorenzo (Atlantic),,2001,Atlantic
Hurricane Michelle (Atlantic),,2001,Atlantic
Hurricane Noel (Atlantic),,2001,Atlantic
Hurricane Olga (Atlantic),,2001,Atlantic
Hurricane Adolph (Pacific),,2001,Pacific
Tropical Storm Barbara (Pacific),,2001,Pacific
Tropical Storm Cosme (Pacific),,2001,Pacific
Tropical Storm Erick (Pacific),,2001,Pacific
Hurricane Dalila (Pacific),,2001,Pacific
Tropical Depression Six (Pacific),,2001,Pacific
Hurricane Flossie (Pacific),,2001,Pacific
Hurricane Gil (Pacific),,2001,Pacific
Tropical Storm Henriette (Pacific),,2001,Pacific
Tropical Storm Ivo (Pacific),,2001,Pacific
Hurricane Juliette (Pacific),,2001,Pacific
Hurricane Kiko (Pacific),,2001,Pacific
Tropical Storm Lorena (Pacific),,2001,Pacific
Tropical Depression Fourteen (Pacific),,2001,Pacific
Tropical Storm Manuel (Pacific),,2001,Pacific
Hurricane Narda (Pacific),,2001,Pacific
Hurricane Octave (Pacific),,2001,Pacific
Tropical Storm Arthur (Atlantic),,2002,Atlantic
Tropical Storm Bertha (Atlantic),,2002,Atlantic
Tropical Storm Cristobal (Atlantic),,2002,Atlantic
Tropical Storm Dolly (Atlantic),,2002,Atlantic
Tropical Storm Edouard (Atlantic),,2002,Atlantic
Tropical Storm Fay (Atlantic),,2002,Atlantic
Tropical Depression Seven (Atlantic),,2002,Atlantic
Hurricane Gustav (Atlantic),,2002,Atlantic
Tropical Storm Hanna (Atlantic),,2002,Atlantic
Hurricane Isidore (Atlantic),,2002,Atlantic
Tropical Storm Josephine (Atlantic),,2002,Atlantic
Hurricane Kyle (Atlantic),,2002,Atlantic
Hurricane Lili (Atlantic),,2002,Atlantic
Tropical Depression Fourteen (Atlantic),,2002,Atlantic
Hurricane Alma (Pacific),,2002,Pacific
Tropical Storm Boris (Pacific),,2002,Pacific
Tropical Depression Three (Pacific),,2002,Pacific
Tropical Storm Cristina (Pacific),,2002,Pacific
Hurricane Douglas (Pacific),,2002,Pacific
Hurricane Elida (Pacific),,2002,Pacific
Tropical Depression Seven (Pacific),,2002,Pacific
Hurricane Fausto (Pacific),,2002,Pacific
Tropical Storm Genevieve (Pacific),,2002,Pacific
Hurricane Hernan (Pacific),,2002,Pacific
Tropical Depression Eleven (Pacific),,2002,Pacific
Tropical Storm Iselle (Pacific),,2002,Pacific
Tropical Storm Julio (Pacific),,2002,Pacific
Hurricane Kenna (Pacific),,2002,Pacific
Tropical Storm Lowell (Pacific),,2002,Pacific
Tropical Depression Sixteen (Pacific),,2002,Pacific
Tropical Storm Ana (Atlantic),,2003,Atlantic
Tropical Depression Two (Atlantic),,2003,Atlantic
Hurricane Claudette (Atlantic),,2003,Atlantic
Hurricane Danny (Atlantic),,2003,Atlantic
Tropical Depression Six (Atlantic),,2003,Atlantic
Tropical Depression Seven (Atlantic),,2003,Atlantic
Tropical Depression Nine (Atlantic),,2003,Atlantic
Hurricane Fabian (Atlantic),,2003,Atlantic
Tropical Storm Grace (Atlantic),,2003,Atlantic
Tropical Storm Henri (Atlantic),,2003,Atlantic
Hurricane Isabel (Atlantic),,2003,Atlantic
Tropical Depression Fourteen (Atlantic),,2003,Atlantic
Hurricane Juan (Atlantic),,2003,Atlantic
Hurricane Kate (Atlantic),,2003,Atlantic
Tropical Storm Larry (Atlantic),,2003,Atlantic
Tropical Storm Mindy (Atlantic),,2003,Atlantic
Tropical Storm Nicholas (Atlantic),,2003,Atlantic
Tropical Storm Odette (Atlantic),,2003,Atlantic
Tropical Storm Peter (Atlantic),,2003,Atlantic
Tropical Storm Andres (Pacific),,2003,Pacific
Tropical Storm Blanca (Pacific),,2003,Pacific
Tropical Storm Carlos (Pacific),,2003,Pacific
Tropical Storm Dolores (Pacific),,2003,Pacific
Tropical Storm Enrique (Pacific),,2003,Pacific
Tropical Storm Felicia (Pacific),,2003,Pacific
Tropical Storm Guillermo (Pacific),,2003,Pacific
Tropical Storm Hilda (Pacific),,2003,Pacific
Hurricane Ignacio (Pacific),,2003,Pacific
Hurricane Jimena (Pacific),,2003,Pacific
Tropical Storm Keven (Pacific),,2003,Pacific
Hurricane Linda (Pacific),,2003,Pacific
Hurricane Marty (Pacific),,2003,Pacific
Hurricane Nora (Pacific),,2003,Pacific
Hurricane Olaf (Pacific),,2003,Pacific
Hurricane Patricia (Pacific),,2003,Pacific
Hurricane Alex (Atlantic),,2004,Atlantic
Tropical Storm Bonnie (Atlantic),,2004,Atlantic
Hurricane Charley (Atlantic),,2004,Atlantic
Hurricane Danielle (Atlantic),,2004,Atlantic
Tropical Storm Earl (Atlantic),,2004,Atlantic
Hurricane Frances (Atlantic),,2004,Atlantic
Hurricane Gaston (Atlantic),,2004,Atlantic
Tropical Storm Hermine (Atlantic),,2004,Atlantic
Hurricane Ivan (Atlantic),,2004,Atlantic
Tropical Depression Ten (Atlantic),,2004,Atlantic
Hurricane Jeanne (Atlantic),,2004,Atlantic
Hurricane Karl (Atlantic),,2004,Atlantic
Hurricane Lisa (Atlantic),,2004,Atlantic
Tropical Storm Matthew (Atlantic),,2004,Atlantic
Tropical Storm Otto (Atlantic),,2004,Atlantic
Tropical Storm Agatha (Pacific),,2004,Pacific
Tropical Depression Two-E (Pacific),,2004,Pacific
Tropical Storm Blas (Pacific),,2004,Pacific
Hurricane Celia (Pacific),,2004,Pacific
Hurricane Darby (Pacific),,2004,Pacific
Tropical Depression Six-E (Pacific),,2004,Pacific
Tropical Storm Estelle (Pacific),,2004,Pacific
Hurricane Frank (Pacific),,2004,Pacific
Tropical Depression Nine-E (Pacific),,2004,Pacific
Tropical Storm Georgette (Pacific),,2004,Pacific
Hurricane Howard (Pacific),,2004,Pacific
Hurricane Isis (Pacific),,2004,Pacific
Hurricane Javier (Pacific),,2004,Pacific
Tropical Storm Kay (Pacific),,2004,Pacific
Tropical Storm Lester (Pacific),,2004,Pacific
Tropical Depression Sixteen-E (Pacific),,2004,Pacific
Tropical Storm Arlene (Atlantic),,2005,Atlantic
Tropical Storm Bret (Atlantic),,2005,Atlantic
Hurricane Cindy (Atlantic),,2005,Atlantic
Hurricane Dennis (Atlantic),,2005,Atlantic
Hurricane Emily (Atlantic),,2005,Atlantic
Tropical Storm Franklin (Atlantic),,2005,Atlantic
Tropical Storm Gert (Atlantic),,2005,Atlantic
Tropical Storm Harvey (Atlantic),,2005,Atlantic
Hurricane Irene (Atlantic),,2005,Atlantic
Tropical Depression Ten (Atlantic),,2005,Atlantic
Tropical Storm Jose (Atlantic),,2005,Atlantic
Hurricane Katrina (Atlantic),,2005,Atlantic
Tropical Storm Lee (Atlantic),,2005,Atlantic
Hurricane Maria (Atlantic),,2005,Atlantic
Hurricane Nate (Atlantic),,2005,Atlantic
Hurricane Ophelia (Atlantic),,2005,Atlantic
Hurricane Philippe (Atlantic),,2005,Atlantic
Hurricane Rita (Atlantic),,2005,Atlantic
Tropical Depression Nineteen (Atlantic),,2005,Atlantic
Hurricane Stan (Atlantic),,2005,Atlantic
Tropical Storm Tammy (Atlantic),,2005,Atlantic
Hurricane Vince (Atlantic),,2005,Atlantic
Hurricane Wilma (Atlantic),,2005,Atlantic
Tropical Storm Alpha (Atlantic),,2005,Atlantic
Hurricane Beta (Atlantic),,2005,Atlantic
Tropical Storm Gamma (Atlantic),,2005,Atlantic
Tropical Storm Delta (Atlantic),,2005,Atlantic
Hurricane Epsilon (Atlantic),,2005,Atlantic
Tropical Storm Zeta (Atlantic),,2005,Atlantic
Hurricane Adrian (Pacific),,2005,Pacific
Tropical Storm Beatriz (Pacific),,2005,Pacific
Tropical Storm Calvin (Pacific),,2005,Pacific
Tropical Storm Dora (Pacific),,2005,Pacific
Tropical Storm Eugene (Pacific),,2005,Pacific
Hurricane Fernanda (Pacific),,2005,Pacific
Tropical Storm Greg (Pacific),,2005,Pacific
Hurricane Hilary (Pacific),,2005,Pacific
Tropical Storm Irwin (Pacific),,2005,Pacific
Hurricane Jova (Pacific),,2005,Pacific
Hurricane Kenneth (Pacific),,2005,Pacific
Tropical Storm Lidia (Pacific),,2005,Pacific
Hurricane Max (Pacific),,2005,Pacific
Tropical Storm Norma (Pacific),,2005,Pacific
Hurricane Otis (Pacific),,2005,Pacific
Tropical Depression Sixteen-E (Pacific),,2005,Pacific
Tropical Storm Alberto (Atlantic),,2006,Atlantic
Tropical Storm (Unnamed) (Atlantic),,2006,Atlantic
Tropical Storm Beryl (Atlantic),,2006,Atlantic
Tropical Storm Chris (Atlantic),,2006,Atlantic
Tropical Storm Debby (Atlantic),,2006,Atlantic
Hurricane Ernesto (Atlantic),,2006,Atlantic
Hurricane Florence (Atlantic),,2006,Atlantic
Hurricane Gordon (Atlantic),,2006,Atlantic
Hurricane Helene (Atlantic),,2006,Atlantic
Hurricane Isaac (Atlantic),,2006,Atlantic
Tropical Storm Aletta (Pacific),,2006,Pacific
Tropical Depression Two-E (Pacific),,2006,Pacific
Hurricane Bud (Pacific),,2006,Pacific
Hurricane Carlotta (Pacific),,2006,Pacific
Hurricane Daniel (Pacific),,2006,Pacific
Tropical Storm Emilia (Pacific),,2006,Pacific
Tropical Storm Fabio (Pacific),,2006,Pacific
Tropical Storm Gilma (Pacific),,2006,Pacific
Hurricane Hector (Pacific),,2006,Pacific
Hurricane Ileana (Pacific),,2006,Pacific
Hurricane John (Pacific),,2006,Pacific
Hurricane Kristy (Pacific),,2006,Pacific
Hurricane Lane (Pacific),,2006,Pacific
Tropical Storm Miriam (Pacific),,2006,Pacific
Tropical Storm Norman (Pacific),,2006,Pacific
Tropical Storm Olivia (Pacific),,2006,Pacific
Hurricane Paul (Pacific),,2006,Pacific
Tropical Depression Eighteen-E (Pacific),,2006,Pacific
Tropical Storm Rosa (Pacific),,2006,Pacific
Tropical Depression Twenty-E (Pacific),,2006,Pacific
Hurricane Sergio (Pacific),,2006,Pacific
Tropical Storm Barry (Atlantic),,2007,Atlantic
Tropical Storm Chantal (Atlantic),,2007,Atlantic
Hurricane Dean (Atlantic),,2007,Atlantic
Tropical Storm Erin (Atlantic),,2007,Atlantic
Hurricane Felix (Atlantic),,2007,Atlantic
Tropical Storm Gabrielle (Atlantic),,2007,Atlantic
Hurricane Humberto (Atlantic),,2007,Atlantic
Tropical Storm Ingrid (Atlantic),,2007,Atlantic
Tropical Depression Ten (Atlantic),,2007,Atlantic
Tropical Storm Jerry (Atlantic),,2007,Atlantic
Hurricane Karen (Atlantic),,2007,Atlantic
Hurricane Lorenzo (Atlantic),,2007,Atlantic
Tropical Storm Melissa (Atlantic),,2007,Atlantic
Tropical Depression Fifteen (Atlantic),,2007,Atlantic
Hurricane Noel (Atlantic),,2007,Atlantic
Tropical Storm Olga (Atlantic),,2007,Atlantic
Tropical Storm Alvin (Pacific),,2007,Pacific
Tropical Storm Barbara (Pacific),,2007,Pacific
Tropical Depression Three-E (Pacific),,2007,Pacific
Tropical Depression Four-E (Pacific),,2007,Pacific
Tropical Depression Five-E (Pacific),,2007,Pacific
Hurricane Cosme (Pacific),,2007,Pacific
Tropical Storm Dalila (Pacific),,2007,Pacific
Tropical Storm Erick (Pacific),,2007,Pacific
Hurricane Flossie (Pacific),,2007,Pacific
Tropical Storm Gil (Pacific),,2007,Pacific
Hurricane Henriette (Pacific),,2007,Pacific
Hurricane Ivo (Pacific),,2007,Pacific
Tropical Depression Thirteen-E (Pacific),,2007,Pacific
Tropical Storm Juliette (Pacific),,2007,Pacific
Tropical Storm Kiko (Pacific),,2007,Pacific
Tropical Storm Arthur (Atlantic),,2008,Atlantic
Hurricane Bertha (Atlantic),,2008,Atlantic
Tropical Storm Cristobal (Atlantic),,2008,Atlantic
Hurricane Dolly (Atlantic),,2008,Atlantic
Tropical Storm Edouard (Atlantic),,2008,Atlantic
Tropical Storm Fay (Atlantic),,2008,Atlantic
Hurricane Gustav (Atlantic),,2008,Atlantic
Hurricane Hanna (Atlantic),,2008,Atlantic
Hurricane Ike (Atlantic),,2008,Atlantic
Tropical Storm Josephine (Atlantic),,2008,Atlantic
Hurricane Kyle (Atlantic),,2008,Atlantic
Tropical Storm Laura (Atlantic),,2008,Atlantic
Tropical Storm Marco (Atlantic),,2008,Atlantic
Tropical Storm Nana (Atlantic),,2008,Atlantic
Hurricane Omar (Atlantic),,2008,Atlantic
Tropical Depression Sixteen (Atlantic),,2008,Atlantic
Hurricane Paloma (Atlantic),,2008,Atlantic
Tropical Storm Kika (Pacific),,2008,Pacific
Tropical Storm Alma (Pacific),,2008,Pacific
Hurricane Boris (Pacific),,2008,Pacific
Tropical Storm Cristina (Pacific),,2008,Pacific
Tropical Storm Douglas (Pacific),,2008,Pacific
Tropical Depression Five-E (Pacific),,2008,Pacific
Hurricane Elida (Pacific),,2008,Pacific
Hurricane Fausto (Pacific),,2008,Pacific
Hurricane Genevieve (Pacific),,2008,Pacific
Hurricane Hernan (Pacific),,2008,Pacific
Tropical Storm Iselle (Pacific),,2008,Pacific
Tropical Storm Julio (Pacific),,2008,Pacific
Tropical Storm Karina (Pacific),,2008,Pacific
Tropical Storm Lowell (Pacific),,2008,Pacific
Hurricane Marie (Pacific),,2008,Pacific
Hurricane Norbert (Pacific),,2008,Pacific
Tropical Storm Odile (Pacific),,2008,Pacific
Tropical Depression Seventeen-E (Pacific),,2008,Pacific
Tropical Storm Polo (Pacific),,2008,Pacific
Tropical Depression One (Atlantic),,2009,Atlantic
Tropical Storm Ana (Atlantic),,2009,Atlantic
Hurricane Bill (Atlantic),,2009,Atlantic
Tropical Storm Claudette (Atlantic),,2009,Atlantic
Tropical Storm Danny (Atlantic),,2009,Atlantic
Tropical Storm Erika (Atlantic),,2009,Atlantic
Hurricane Fred (Atlantic),,2009,Atlantic
Tropical Depression Eight (Atlantic),,2009,Atlantic
Tropical Storm Grace (Atlantic),,2009,Atlantic
Tropical Storm Henri (Atlantic),,2009,Atlantic
Hurricane Ida (Atlantic),,2009,Atlantic
Tropical Storm Maka (Pacific),,2009,Pacific
Tropical Depression Two-C (Pacific),,2009,Pacific
Hurricane Neki (Pacific),,2009,Pacific
Tropical Depression One-E (Pacific),,2009,Pacific
Hurricane Andres (Pacific),,2009,Pacific
Tropical Storm Blanca (Pacific),,2009,Pacific
Hurricane Carlos (Pacific),,2009,Pacific
Tropical Storm Dolores (Pacific),,2009,Pacific
Tropical Depression Six-E/Tropical Storm Lana (Pacific),,2009,Pacific
Tropical Storm Enrique (Pacific),,2009,Pacific
Hurricane Felicia (Pacific),,2009,Pacific
Tropical Depression Nine-E (Pacific),,2009,Pacific
Hurricane Guillermo (Pacific),,2009,Pacific
Tropical Storm Hilda (Pacific),,2009,Pacific
Tropical Storm Ignacio (Pacific),,2009,Pacific
Hurricane Jimena (Pacific),,2009,Pacific
Tropical Storm Kevin (Pacific),,2009,Pacific
Hurricane Linda (Pacific),,2009,Pacific
